spatial_id;votes;invalid;valid;spoe;oevp;kpoe;gruene;fpoe;bzoe;weg;oeabp;salz;zpa
901;407;0;407;42;199;36;86;29;10;1;4;0;0
902;454;16;438;44;211;41;99;29;8;0;3;0;3
903;411;6;405;49;198;57;58;32;9;0;2;0;0
904;399;9;390;46;178;51;65;34;12;1;1;1;1
905;385;2;383;69;161;38;54;49;11;0;0;1;0
906;440;5;435;36;247;28;60;49;8;0;6;1;0
907;516;9;507;43;260;41;102;40;16;0;2;2;1
908;435;3;432;50;221;36;78;29;14;0;2;1;1
909;413;13;400;46;199;45;53;37;16;0;3;1;0
910;471;4;467;65;224;28;82;47;18;1;1;0;1
911;500;8;492;80;243;40;62;44;18;2;2;0;1
912;485;16;469;63;205;57;87;46;7;1;3;0;0
913;429;5;424;90;183;54;44;33;12;0;5;2;1
1001;308;9;299;52;131;32;43;25;11;0;3;2;0
1002;360;8;352;49;168;26;54;41;13;0;1;0;0
1003;393;0;393;63;178;43;68;29;8;0;4;0;0
1004;419;5;414;68;169;40;79;43;13;0;2;0;0
1005;421;3;418;54;193;49;64;32;12;7;6;0;1
1006;360;5;355;39;171;40;53;44;7;0;1;0;0
1007;431;5;426;61;222;27;45;42;19;4;2;3;1
1101;387;11;376;31;188;46;74;22;10;2;2;1;0
1102;443;4;439;35;237;42;72;34;16;2;1;0;0
1103;474;10;464;41;230;55;93;29;9;1;4;0;2
1104;390;3;387;39;163;44;84;41;12;2;2;0;0
1105;482;1;481;40;273;33;75;46;11;1;2;0;0
1106;463;5;458;57;246;28;81;34;9;0;1;2;0
1107;515;6;509;47;239;52;133;21;12;3;2;0;0
1108;454;2;452;59;217;40;74;47;9;0;4;1;1
1109;538;5;533;51;298;38;76;45;18;1;5;1;0
1201;421;0;421;80;153;52;64;47;22;2;0;0;1
1202;374;5;369;89;152;43;19;47;16;0;1;2;0
1203;400;5;395;93;164;29;44;44;17;0;3;0;1
1204;505;5;500;93;200;41;113;36;16;0;1;0;0
1205;451;3;448;73;186;49;67;49;15;2;4;3;0
1206;390;4;386;54;163;46;76;30;12;1;4;0;0
1207;453;7;446;84;197;45;71;41;6;0;1;1;0
1208;400;4;396;98;121;55;68;38;13;0;2;1;0
1209;474;3;471;87;211;52;77;24;15;0;5;0;0
1210;483;16;467;105;155;41;104;37;20;1;3;1;0
1211;435;16;419;92;179;38;48;42;15;2;2;1;0
1212;461;5;456;48;214;38;94;34;21;1;5;1;0
1213;461;12;449;80;219;46;52;35;16;1;0;0;0
1214;448;6;442;72;208;25;69;43;18;1;3;1;2
1215;491;15;476;61;211;64;71;44;21;0;3;1;0
1216;449;6;443;76;193;50;57;51;14;0;2;0;0
1217;459;1;458;79;207;53;67;33;15;2;2;0;0
1218;513;4;509;97;223;36;56;68;18;4;5;2;0
1219;474;10;464;72;239;36;56;40;16;1;2;0;2
1301;380;3;377;117;98;36;25;66;31;0;2;0;2
1302;406;5;401;80;172;41;28;52;25;1;0;2;0
1303;294;4;290;127;79;19;10;39;14;1;1;0;0
1304;364;7;357;95;118;42;42;43;16;0;1;0;0
1305;391;3;388;73;151;42;40;55;19;2;3;2;1
1306;352;1;351;54;164;33;59;30;9;0;0;1;1
1307;306;2;304;105;57;33;9;71;27;1;0;1;0
1308;429;2;427;95;136;52;42;70;30;0;2;0;0
1309;361;0;361;72;132;41;31;52;30;1;2;0;0
1310;411;19;392;67;157;37;71;38;18;1;0;3;0
1311;293;9;284;55;118;32;29;28;20;0;1;0;1
1312;185;1;184;70;53;17;8;24;12;0;0;0;0
1401;396;5;391;88;129;42;50;52;28;0;1;1;0
1402;378;1;377;86;134;47;30;58;16;0;5;1;0
1403;326;6;320;113;81;32;25;48;15;0;1;2;3
1404;300;1;299;75;91;33;36;52;10;1;1;0;0
1405;305;4;301;79;106;22;41;33;18;1;1;0;0
1406;342;4;338;87;97;53;22;55;19;2;3;0;0
1407;365;12;353;95;106;31;27;58;32;2;2;0;0
1408;470;16;454;86;150;56;72;63;20;2;4;1;0
1409;382;7;375;82;127;48;49;45;19;0;3;0;2
1410;451;3;448;55;194;52;66;51;24;4;1;1;0
1411;340;24;316;57;115;32;39;45;18;0;7;2;1
1412;340;6;334;112;95;34;27;43;18;3;2;0;0
1413;345;40;305;96;70;37;41;46;13;0;2;0;0
1414;320;13;307;98;76;42;22;46;19;0;1;2;1
1415;421;4;417;88;170;35;53;50;17;0;4;0;0
1416;364;2;362;66;141;27;36;68;18;0;5;1;0
1417;369;7;362;71;149;43;54;32;11;0;2;0;0
1418;411;5;406;72;167;53;59;41;12;0;1;0;1
1419;436;1;435;88;158;48;66;44;22;1;7;1;0
1501;335;5;330;60;123;30;29;45;42;1;0;0;0
1502;462;3;459;117;172;39;25;61;34;4;5;1;1
1503;413;5;408;146;116;39;25;53;27;0;2;0;0
1504;326;5;321;81;79;58;17;50;34;1;1;0;0
1505;467;4;463;125;142;47;53;67;25;2;2;0;0
1506;368;4;364;98;90;48;35;60;27;0;3;1;2
1507;418;7;411;85;139;57;32;72;21;2;3;0;0
1508;327;6;321;120;65;59;6;42;28;0;1;0;0
1509;322;5;317;84;108;34;25;47;16;2;1;0;0
1510;368;3;365;164;58;39;18;49;34;1;1;1;0
1511;391;2;389;88;164;33;27;57;15;1;4;0;0
1512;426;2;424;78;176;33;56;64;13;1;2;1;0
1513;435;8;427;128;138;48;29;70;12;1;0;1;0
1514;393;25;368;73;133;52;43;37;25;0;3;1;1
1515;402;5;397;77;157;45;37;45;29;0;7;0;0
1601;394;9;385;95;147;33;29;56;22;0;2;1;0
1602;386;2;384;81;146;38;40;51;23;0;5;0;0
1603;400;17;383;88;138;53;32;54;14;4;0;0;0
1604;362;2;360;109;118;28;31;50;18;0;2;4;0
1605;424;10;414;103;142;55;33;52;26;1;0;2;0
1606;397;3;394;99;150;36;26;54;23;0;2;2;2
1607;375;6;369;125;88;44;27;51;29;0;5;0;0
